기업명,신규상장일,현재가(원),전일비(%),공모가(원),공모가대비등락률(%),시초가(원),시초/공모(%),첫날종가(원)
SK아이이테크놀로지(유가),2021/05/11,"96,900",-2.61%,"105,000",-7.71%,"210,000",100%,"154,500"
하이스팩6호,2021/05/10,"2,270",0.00%,"2,000",13.5%,"2,060",3%,"2,065"
쿠콘,2021/04/28,"25,350",4.54%,"45,000",-43.67%,"80,000",77.78%,"65,500"
해성티피씨,2021/04/21,"7,010",-1.82%,"13,000",-46.08%,"26,000",100%,"33,800"
이삭엔지니어링,2021/04/21,"9,170",0.66%,"11,500",-20.26%,"23,000",100%,"26,150"
유진스팩6호,2021/04/08,"2,520",0.00%,"2,000",26%,"2,050",2.5%,"2,045"
유안타스팩8호,2021/04/05,"3,720",0.40%,"2,000",86%,"2,010",0.5%,"2,005"
엔시스,2021/04/01,"13,070",-2.10%,"19,000",-31.21%,"38,000",100%,"31,400"
자이언트스텝,2021/03/24,"12,900",-2.79%,"11,000",17.27%,"22,000",100%,"28,600"
제노코,2021/03/24,"16,170",-2.18%,"36,000",-55.08%,"65,000",80.56%,"80,100"
라이프시맨틱스,2021/03/23,"4,795",-2.14%,"12,500",-61.64%,"25,000",100%,"17,500"
SK바이오사이언스(유가),2021/03/18,"80,900",-1.94%,"65,000",24.46%,"130,000",100%,"169,000"
바이오다인,2021/03/17,"59,400",4.03%,"30,000",98%,"40,000",33.33%,"42,600"
네오이뮨텍,2021/03/16,"2,215",-1.34%,"7,500",-70.47%,"15,000",100%,"14,350"
디비금융스팩9호,2021/03/16,"2,125",0.00%,"2,000",6.25%,"2,025",1.25%,"2,020"
프레스티지바이오로직스,2021/03/11,"4,750",-3.36%,"12,400",-61.69%,"12,100",-2.42%,"14,300"
싸이버원,2021/03/11,"9,580",-1.44%,"9,500",0.84%,"18,000",89.47%,"21,200"
나노씨엠에스,2021/03/09,"20,150",-0.25%,"20,000",0.75%,"33,000",65%,"23,950"
하나머스트스팩7호,2021/03/05,"2,405",0.00%,"2,000",20.25%,"2,055",2.75%,"2,050"
뷰노,2021/02/26,"35,800",0.99%,"21,000",70.48%,"32,900",56.67%,"32,150"
IBKS스팩15호,2021/02/26,"4,520",-2.59%,"2,000",126%,"2,060",3%,"2,070"
유일에너테크,2021/02/25,"16,460",-1.73%,"16,000",2.88%,"32,000",100%,"34,500"
씨이랩,2021/02/24,"13,000",-4.13%,"35,000",-62.86%,"46,600",33.14%,"40,800"
오로스테크놀로지,2021/02/24,"21,750",0.23%,"21,000",3.57%,"42,000",100%,"54,600"
피엔에이치테크,2021/02/16,"18,470",-3.30%,"18,000",2.61%,"20,500",13.89%,"23,850"
하나금융스팩17호,2021/02/10,823,-0.96%,"2,000",-58.85%,"2,045",2.25%,"2,050"
프레스티지바이오파마(유가),2021/02/05,"11,780",-7.10%,"32,000",-63.19%,"28,800",-10%,"32,800"
아이퀘스트,2021/02/05,"6,410",0.00%,"11,000",-41.73%,"22,000",100%,"20,000"
신한스팩7호,2021/02/04,"5,580",7.31%,"2,000",179%,"2,020",1%,"2,030"
와이더플래닛,2021/02/03,"4,425",2.79%,"16,000",-72.34%,"24,900",55.63%,"20,000"
레인보우로보틱스,2021/02/03,"139,000",1.46%,"10,000",1290%,"20,000",100%,"26,000"
솔루엠(유가),2021/02/02,"28,800",-0.69%,"17,000",69.41%,"34,000",100%,"29,150"
핑거,2021/01/29,"10,330",-0.86%,"16,000",-35.44%,"32,000",100%,"29,100"
씨앤투스성진,2021/01/28,"3,715",-0.93%,"32,000",-88.39%,"31,700",-0.94%,"28,700"
모비릭스,2021/01/28,"9,040",-1.63%,"14,000",-35.43%,"28,000",100%,"36,400"
선진뷰티사이언스,2021/01/27,"10,150",-2.40%,"11,500",-11.74%,"23,000",100%,"29,900"
엔비티,2021/01/21,"6,920",-5.98%,"19,000",-63.58%,"38,000",100%,"36,500"
한국스팩9호,2021/01/21,"4,200",-5.94%,"2,000",110%,"2,020",1%,"2,030"
지놈앤컴퍼니,2020/12/23,"14,520",-4.35%,"40,000",-63.7%,"80,000",100%,"68,800"
대신밸런스스팩9호,2020/12/23,"1,705",-1.04%,"2,000",-14.75%,"2,020",1%,"2,050"
석경에이티,2020/12/23,"47,550",-6.21%,"10,000",375.5%,"20,000",100%,"26,000"
이에스알켄달스퀘어리츠(유가),2020/12/23,"3,910",1.03%,"5,000",-21.8%,"4,970",-0.6%,"5,190"
프리시젼바이오,2020/12/22,"6,560",-3.53%,"12,500",-47.52%,"25,000",100%,"32,500"
알체라,2020/12/21,"13,990",-1.62%,"10,000",39.9%,"20,000",100%,"26,000"
엔에이치스팩18호,2020/12/21,"1,695",-2.25%,"2,000",-15.25%,"2,025",1.25%,"2,025"
에프앤가이드,2020/12/17,"7,970",-0.38%,"7,000",13.86%,"14,000",100%,"12,850"
에이치엠씨아이비스팩5호,2020/12/16,"2,035",0.00%,"2,000",1.75%,"2,000",0%,-
티엘비,2020/12/14,"23,250",1.75%,"38,000",-38.82%,"75,900",99.74%,"54,500"
인바이오,2020/12/11,"5,090",-3.23%,"5,800",-12.24%,"11,600",100%,"12,200"
엔젠바이오,2020/12/10,"6,730",-2.32%,"14,000",-51.93%,"28,000",100%,"25,650"
퀀타매트릭스,2020/12/09,"4,940",-4.63%,"25,500",-80.63%,"25,050",-1.76%,"24,100"
디비금융스팩8호,2020/12/09,"2,055",0.00%,"2,000",2.75%,"1,985",-0.75%,"1,985"
명신산업(유가),2020/12/07,"19,570",-6.14%,"6,500",201.08%,"13,000",100%,"16,900"
클리노믹스,2020/12/04,"3,460",-6.23%,"13,900",-75.11%,"18,500",33.09%,"19,000"
포인트모바일,2020/12/03,"18,100",0.00%,"15,000",20.67%,"30,000",100%,"30,550"
엔에프씨,2020/12/02,"9,140",5.54%,"13,400",-31.79%,"20,700",54.48%,"16,950"
앱코,2020/12/02,"4,535",1.91%,"24,300",-81.34%,"30,150",24.07%,"28,900"
제일전기공업,2020/11/26,"12,420",-0.72%,"17,000",-26.94%,"34,000",100%,"28,650"
하나기술,2020/11/25,"112,000",2.10%,"35,000",220%,"70,000",100%,"91,000"
티앤엘,2020/11/20,"54,400",0.74%,"36,000",51.11%,"72,000",100%,"54,000"
에이플러스에셋어드바이저(유가),2020/11/20,"4,390",-0.57%,"7,500",-41.47%,"8,100",8%,"6,880"
고바이오랩,2020/11/18,"9,980",-1.67%,"15,000",-33.47%,"30,000",100%,"31,300"
네패스아크,2020/11/17,"23,800",-6.30%,"26,500",-10.19%,"36,200",36.6%,"38,700"
교촌에프앤비(유가),2020/11/12,"8,090",-1.10%,"12,300",-34.23%,"23,850",93.9%,"31,000"
소룩스,2020/11/06,"20,100",4.04%,"10,000",101%,"20,000",100%,"26,000"
위드텍,2020/10/30,"13,730",-5.51%,"25,000",-45.08%,"37,100",48.4%,"41,100"
센코,2020/10/29,"3,410",-0.87%,"13,000",-73.77%,"13,350",2.69%,"15,250"
바이브컴퍼니,2020/10/28,"8,620",-0.35%,"28,000",-69.21%,"40,000",42.86%,"31,300"
미코바이오메드,2020/10/22,"4,400",-5.78%,"15,000",-70.67%,"16,100",7.33%,"13,700"
피플바이오,2020/10/19,"9,520",-2.06%,"20,000",-52.4%,"18,000",-10%,"23,400"
하이브(구.빅히트)(유가),2020/10/15,"252,000",-1.18%,"135,000",86.67%,"270,000",100%,"258,000"
넥스틴,2020/10/08,"77,300",-6.19%,"75,400",2.52%,"71,100",-5.7%,"71,600"
원방테크,2020/09/24,"24,600",2.07%,"54,300",-54.7%,"48,900",-9.94%,"43,700"
엔에이치스팩17호,2020/09/23,"1,316",0.61%,"2,000",-34.2%,"2,005",0.25%,"1,995"
비나텍,2020/09/23,"55,400",-2.12%,"33,000",67.88%,"44,000",33.33%,"40,750"
박셀바이오,2020/09/22,"30,800",-3.30%,"30,000",2.67%,"27,000",-10%,"21,300"
비비씨,2020/09/21,"9,730",-3.57%,"30,700",-68.31%,"27,650",-9.93%,"22,300"
교보스팩10호,2020/09/18,"3,160",-2.92%,"2,000",58%,"2,020",1%,"2,005"
핌스,2020/09/18,"16,800",-3.00%,"19,000",-11.58%,"21,000",10.53%,"18,300"
압타머사이언스,2020/09/16,"4,070",-2.75%,"25,000",-83.72%,"28,850",15.4%,"27,750"
이오플로우,2020/09/14,"26,600",0.38%,"19,000",40%,"21,750",14.47%,"20,000"
카카오게임즈,2020/09/10,"29,800",-0.83%,"24,000",24.17%,"48,000",100%,"62,400"
피엔케이피부임상연구센타,2020/09/09,"3,275",-2.53%,"18,300",-82.1%,"28,000",53.01%,"26,800"
코람코에너지플러스리츠(유가),2020/08/31,"5,450",2.83%,"5,000",9%,"4,800",-4%,"4,735"
미래에셋대우스팩5호,2020/08/28,"2,015",0.00%,"2,000",0.75%,"2,000",0%,"2,010"
아이디피,2020/08/24,"3,555",-3.66%,"9,800",-63.72%,"13,200",34.69%,"12,500"
셀레믹스,2020/08/21,"4,560",-2.98%,"20,000",-77.2%,"24,900",24.5%,"25,800"
미투젠,2020/08/18,"11,350",-0.44%,"27,000",-57.96%,"29,100",7.78%,"25,500"
브랜드엑스코퍼레이션,2020/08/13,"5,010",-1.57%,"13,000",-61.46%,"12,900",-0.77%,"11,700"
영림원소프트랩,2020/08/12,"8,120",-3.91%,"11,500",-29.39%,"17,600",53.04%,"13,650"
한국파마,2020/08/10,"17,080",-3.50%,"9,000",89.78%,"18,000",100%,"16,850"
제이알글로벌리츠(유가),2020/08/07,"3,895",2.50%,"5,000",-22.1%,"4,700",-6%,"4,825"
이루다,2020/08/06,"9,220",-3.25%,"9,000",2.44%,"18,000",100%,"17,650"
이지스레지던스리츠(유가),2020/08/05,"3,645",-0.68%,"5,000",-27.1%,"4,500",-10%,"4,190"
미래에셋맵스리츠1호(유가),2020/08/05,"3,040",-0.65%,"5,000",-39.2%,"4,500",-10%,"4,350"
와이팜,2020/07/31,"4,030",0.25%,"11,000",-63.36%,"15,550",41.36%,"18,800"
이엔드디,2020/07/30,"31,500",-2.33%,"14,400",118.75%,"18,200",26.39%,"21,000"
엠투아이,2020/07/29,"8,490",-0.82%,"15,600",-45.58%,"18,850",20.83%,"15,900"
에이치엠씨아이비스팩4호,2020/07/29,"2,025",0.00%,"2,000",1.25%,"2,010",0.5%,"2,000"
더네이쳐홀딩스,2020/07/27,"22,350",1.36%,"46,000",-51.41%,"41,400",-10%,"43,000"
제놀루션,2020/07/24,"4,365",-1.58%,"14,000",-68.82%,"28,000",100%,"24,750"
솔트룩스,2020/07/23,"40,250",8.93%,"25,000",61%,"40,000",60%,"34,300"
하나금융스팩16호,2020/07/23,"2,020",0.00%,"2,000",1%,"2,020",1%,"2,020"
티에스아이,2020/07/22,"11,940",-3.40%,"10,000",19.4%,"20,000",100%,"17,200"
이지스밸류플러스리츠(유가),2020/07/16,"4,345",0.46%,"5,000",-13.1%,"4,800",-4%,"4,410"
에이프로,2020/07/16,"16,500",-2.94%,"21,600",-23.61%,"43,200",100%,"56,100"
IBKS스팩13호,2020/07/15,"2,020",0.00%,"2,000",1%,"2,010",0.5%,"2,010"
소마젠,2020/07/13,"6,190",-0.96%,"11,000",-43.73%,"11,650",5.91%,"15,100"
신도기연,2020/07/06,"4,800",-4.76%,"16,000",-70%,"32,000",100%,"22,400"
위더스제약,2020/07/03,"7,330",0.14%,"15,900",-53.9%,"31,800",100%,"34,400"
SK바이오팜(유가),2020/07/02,"95,500",0.84%,"49,000",94.9%,"98,000",100%,"127,000"
마크로밀엠브레인,2020/07/01,"3,025",0.83%,"6,800",-55.51%,"13,600",100%,"16,050"
젠큐릭스,2020/06/25,"3,940",-5.52%,"22,700",-82.64%,"25,100",10.57%,"21,650"
IBKS스팩14호,2020/06/22,"3,230",-3.00%,"2,000",61.5%,"2,010",0.5%,"2,010"
엘이티,2020/06/22,"4,940",-4.82%,"7,800",-36.67%,"15,600",100%,"20,250"
에스씨엠생명과학,2020/06/17,"5,000",-3.47%,"17,000",-70.59%,"29,500",73.53%,"36,100"
엔에이치스팩16호,2020/06/17,"1,185",4.13%,"2,000",-40.75%,"2,005",0.25%,"2,005"
드림씨아이에스,2020/05/22,"13,900",-2.73%,"14,900",-6.71%,"28,000",87.92%,"30,500"
이베스트스팩5호,2020/05/20,"2,030",0.00%,"2,000",1.5%,"2,000",0%,"2,000"
케이프이에스스팩4호,2020/03/24,"2,025",0.00%,"2,000",1.25%,"2,005",0.25%,"1,980"
엔피디,2020/03/16,"1,977",-1.15%,"5,400",-63.39%,"4,860",-10%,"3,775"
플레이디,2020/03/12,"5,640",-1.23%,"8,500",-33.65%,"11,250",32.35%,"8,800"
에스케이스팩6호,2020/03/11,"2,010",0.00%,"2,000",0.5%,"2,025",1.25%,"2,010"
서울바이오시스,2020/03/06,"4,655",-1.79%,"7,500",-37.93%,"13,000",73.33%,"11,100"
제이앤티씨,2020/03/04,"9,250",0.54%,"11,000",-15.91%,"10,200",-7.27%,"10,350"
켄코아에어로스페이스,2020/03/03,"13,610",0.15%,"10,000",36.1%,"11,500",15%,"10,250"
레몬,2020/02/28,"3,230",-24.27%,"7,200",-55.14%,"8,620",19.72%,"10,400"
서남,2020/02/20,"8,060",30.00%,"3,100",160%,"3,900",25.81%,"4,750"
신영스팩6호,2020/02/12,"4,950",0.00%,"2,000",147.5%,"2,000",0%,"2,010"
위세아이텍,2020/02/10,"11,550",-2.28%,"12,000",-3.75%,"13,900",15.83%,"12,400"
하나금융스팩15호,2020/01/30,"2,655",0.00%,"2,000",32.75%,"2,000",0%,"2,000"
케이비스팩20호,2020/01/30,"1,665",0.00%,"2,000",-16.75%,"2,000",0%,"2,000"
한화플러스스팩1호,2019/12/27,"2,095",-2.78%,"2,000",4.75%,"2,005",0.25%,"2,000"
피피아이,2019/12/26,"2,645",1.54%,"7,000",-62.21%,"11,000",57.14%,"9,630"
천랩,2019/12/26,"21,700",8.77%,"40,000",-45.75%,"42,950",7.38%,"38,500"
엔에이치스팩15호,2019/12/24,"1,904",-1.09%,"2,000",-4.8%,"2,000",0%,"2,000"
메탈라이프,2019/12/24,"11,060",-2.12%,"13,000",-14.92%,"26,000",100%,"33,800"
하이스팩5호,2019/12/23,"2,035",0.00%,"2,000",1.75%,"2,000",0%,"2,005"
브릿지바이오테라퓨틱스,2019/12/20,"6,580",-9.24%,"60,000",-89.03%,"62,400",4%,"54,300"
메드팩토,2019/12/19,"15,340",-1.92%,"40,000",-61.65%,"40,000",0%,"35,900"
대신밸런스스팩8호,2019/12/19,"13,430",-0.37%,"2,000",571.5%,"2,005",0.25%,"2,005"
유안타스팩6호,2019/12/19,"1,176",-1.26%,"2,000",-41.2%,"2,005",0.25%,"2,000"
신테카바이오,2019/12/17,"14,910",-7.74%,"12,000",24.25%,"14,950",24.58%,"16,700"
제이엘케이인스펙션,2019/12/11,"37,800",11.18%,"9,000",320%,"8,500",-5.56%,"9,000"
태웅로직스,2019/12/10,"3,830",-1.29%,"4,500",-14.89%,"8,170",81.56%,"6,110"
IBKS스팩12호,2019/12/09,"1,976",1.39%,"2,000",-1.2%,"2,040",2%,"2,050"
리메드,2019/12/06,"18,600",-0.43%,"13,000",43.08%,"14,100",8.46%,"13,450"
에스케이스팩5호,2019/12/05,"3,200",0.00%,"2,000",60%,"2,010",0.5%,"2,010"
엔에이치프라임리츠(유가),2019/12/05,"4,070",-0.73%,"5,000",-18.6%,"5,000",0%,"6,500"
IBKS스팩11호,2019/12/03,"8,110",-0.49%,"2,000",305.5%,"2,005",0.25%,"2,010"
코리아센터,2019/11/29,"5,380",0.00%,"18,000",-70.11%,"23,000",27.78%,"22,850"
유안타스팩5호,2019/11/28,"1,697",0.65%,"2,000",-15.15%,"2,145",7.25%,"2,010"
노터스,2019/11/27,"3,220",-2.42%,"20,000",-83.9%,"29,750",48.75%,"36,500"
센트랄모텍(유가),2019/11/25,"13,840",-1.56%,"6,000",130.67%,"7,650",27.5%,"9,940"
티움바이오,2019/11/22,"7,970",-1.24%,"12,000",-33.58%,"11,800",-1.67%,"13,450"
씨에스베어링,2019/11/21,"12,920",-0.77%,"8,400",53.81%,"8,400",0%,"8,950"
코리아에셋투자증권,2019/11/20,"6,100",0.00%,"10,000",-39%,"9,900",-1%,"8,290"
우양,2019/11/20,"6,170",9.01%,"4,200",46.9%,"6,060",44.29%,"4,785"
현대에너지솔루션(유가),2019/11/19,"33,750",-2.88%,"18,000",87.5%,"18,200",1.11%,"17,300"
에스제이그룹,2019/11/18,"10,850",-0.91%,"38,600",-71.89%,"43,500",12.69%,"46,400"
제테마,2019/11/14,"22,950",-4.18%,"21,000",9.29%,"20,100",-4.29%,"22,450"
한화시스템(유가),2019/11/13,"14,100",-2.35%,"12,250",15.1%,"11,600",-5.31%,"11,100"
라파스,2019/11/11,"27,800",-6.40%,"20,000",39%,"19,950",-0.25%,"18,050"
아이티엠반도체,2019/11/07,"22,950",0.44%,"26,000",-11.73%,"26,750",2.88%,"24,700"
자이에스앤디(유가),2019/11/06,"5,350",-0.56%,"5,200",2.88%,"6,650",27.88%,"6,120"
미래에셋대우스팩4호,2019/11/06,-,%,"2,000",%,"2,000",0%,"2,000"
미디어젠,2019/11/05,"11,100",2.40%,"10,600",4.72%,"11,250",6.13%,"9,150"
하나금융스팩14호,2019/11/01,-,%,"2,000",%,"2,000",0%,"2,005"
신한스팩6호,2019/10/31,-,%,"2,000",%,"2,010",0.5%,"2,010"
티라유텍,2019/10/31,"7,750",-59.95%,"12,050",-35.68%,"24,100",100%,"20,650"
롯데리츠(유가),2019/10/30,"3,425",0.15%,"5,000",-31.5%,"5,000",0%,"6,500"
지누스(유가),2019/10/30,"27,650",-5.63%,"70,000",-60.5%,"73,500",5%,"83,000"
교보스팩9호,2019/10/29,-,%,"2,000",%,"2,010",0.5%,"2,010"
캐리소프트,2019/10/29,"6,440",8.78%,"9,000",-28.44%,"12,100",34.44%,"13,850"
케이엔제이,2019/10/25,"21,300",-0.70%,"11,000",93.64%,"15,700",42.73%,"14,900"
엔바이오니아,2019/10/24,"15,280",-3.96%,"8,200",86.34%,"10,700",30.49%,"12,100"
팜스빌,2019/10/22,"9,170",0.11%,"14,000",-34.5%,"16,800",20%,"14,350"
라온피플,2019/10/18,"6,720",-7.05%,"14,000",-52%,"13,300",-5%,"15,550"
아톤,2019/10/17,"21,700",6.11%,"43,000",-49.53%,"46,050",7.09%,"42,850"
녹십자웰빙,2019/10/14,"7,150",1.27%,"11,300",-36.73%,"11,900",5.31%,"12,500"
대신밸런스스팩7호,2019/10/11,-,%,"2,000",%,"2,025",1.25%,"2,025"
유진스팩5호,2019/10/02,-,%,"2,000",%,"2,045",2.25%,"2,045"
케이비스팩19호,2019/09/30,-,%,"2,000",%,"2,045",2.25%,"2,050"
올리패스,2019/09/20,"2,310",6.70%,"20,000",-88.45%,"30,600",53%,"24,800"
라닉스,2019/09/18,"4,650",-0.21%,"6,000",-22.5%,"7,100",18.33%,"8,090"
하나금융스팩13호,2019/09/18,-,%,"2,000",%,"2,040",2%,"2,070"
한독크린텍,2019/09/05,"8,300",-0.60%,"15,100",-45.03%,"24,500",62.25%,"19,250"
상상인이안스팩2호,2019/08/30,-,%,"2,000",%,"2,150",7.5%,"2,035"
네오크레마,2019/08/22,"8,760",2.10%,"8,000",9.5%,"9,530",19.13%,"8,370"
미래에셋대우스팩3호,2019/08/20,-,%,"2,000",%,"2,120",6%,-
마니커에프앤지,2019/08/20,"3,585",-0.14%,"4,000",-10.38%,"8,000",100%,"6,950"
나노브릭,2019/08/19,"3,315",-5.29%,"16,000",-79.28%,"14,400",-10%,"14,800"
에스피시스템스,2019/08/14,"14,240",-1.32%,"4,900",190.61%,"9,800",100%,"12,700"
레이,2019/08/08,"28,250",-23.13%,"20,000",41.25%,"25,150",25.75%,"24,750"
그린플러스,2019/08/07,"9,560",0.10%,"10,000",-4.4%,"11,150",11.5%,"10,700"
코윈테크,2019/08/05,"34,400",-0.43%,"34,500",-0.29%,"31,050",-10%,"21,750"
덕산테코피아,2019/08/02,"15,170",-1.81%,"19,000",-20.16%,"17,100",-10%,"15,600"
슈프리마아이디,2019/08/01,"9,170",2.12%,"27,000",-66.04%,"34,750",28.7%,"28,000"
한국바이오젠,2019/08/01,"9,080",-1.73%,"6,000",51.33%,"12,000",100%,"13,200"
세경하이테크,2019/07/30,"15,690",-6.22%,"35,000",-55.17%,"33,250",-5%,"33,350"
윌링스,2019/07/25,"13,700",-3.25%,"12,500",9.6%,"22,800",82.4%,"29,600"
대모(구.대모엔지니어링),2019/07/24,"10,960",-3.61%,"5,200",110.77%,"8,710",67.5%,"11,300"
에이스토리,2019/07/19,"15,720",-2.00%,"14,300",9.93%,"12,900",-9.79%,-
플리토,2019/07/17,"31,300",-7.81%,"26,000",20.38%,"31,600",21.54%,"27,800"
이베스트이안스팩1호,2019/07/15,-,%,"2,000",%,"3,040",52%,-
세틀뱅크,2019/07/12,"17,000",-0.93%,"55,000",-69.09%,"49,500",-10%,"51,600"
아이스크림에듀,2019/07/11,"4,255",-0.23%,"15,900",-73.24%,"14,350",-9.75%,"11,700"
펌텍코리아,2019/07/04,"26,400",-0.38%,"190,000",-86.11%,"171,000",-10%,"152,300"
에이에프더블류,2019/07/01,"3,770",-3.70%,"22,500",-83.24%,"28,000",24.44%,"21,750"
신영스팩5호,2019/06/24,-,%,"2,000",%,"4,000",100%,"3,740"
케이비스팩18호,2019/06/24,-,%,"2,000",%,"2,300",15%,"2,990"
신한스팩5호,2019/06/19,-,%,"2,000",%,"3,860",93%,"2,805"
압타바이오,2019/06/12,"11,000",-2.40%,"30,000",-63.33%,"50,200",67.33%,"38,900"
까스텔바쟉,2019/06/10,"5,960",1.71%,"12,000",-50.33%,"17,000",41.67%,"19,250"
마이크로디지탈,2019/06/05,"7,190",-0.28%,"23,000",-68.74%,"41,050",78.48%,"39,100"
유진스팩4호,2019/05/31,-,%,"2,000",%,"2,500",25%,"3,250"
디비금융스팩7호,2019/05/31,-,%,"2,000",%,"2,080",4%,"2,700"
수젠텍,2019/05/28,"7,230",-3.86%,"12,000",-39.75%,"11,150",-7.08%,"10,150"
컴퍼니케이파트너스,2019/05/23,"6,130",2.34%,"4,500",36.22%,"8,200",82.22%,"10,650"
엔에이치스팩14호,2019/05/08,-,%,"2,000",%,"2,115",5.75%,"2,030"
에스앤케이,2019/05/07,"36,800",0.00%,"40,400",-8.91%,"36,400",-9.9%,"33,650"
한화에스비아이스팩,2019/05/03,-,%,"2,000",%,"2,005",0.25%,"2,655"
하이스팩4호,2019/04/29,-,%,"2,000",%,"2,005",0.25%,"2,015"
아모그린텍,2019/03/29,"14,520",2.11%,"9,900",46.67%,"10,300",4.04%,"10,200"
현대오토에버(유가),2019/03/28,"154,600",-0.58%,"48,000",222.08%,"75,500",57.29%,"88,700"
지노믹트리,2019/03/27,"29,050",9.62%,"27,000",7.59%,"29,450",9.07%,"27,300"
케이비스팩17호,2019/03/27,-,%,"2,000",%,"1,995",-0.25%,"2,000"
이지케어텍,2019/03/22,"19,370",-1.87%,"12,300",57.48%,"24,600",100%,"31,950"
유안타스팩4호,2019/03/21,-,%,"2,000",%,"2,005",0.25%,"2,000"
미래에셋벤처투자,2019/03/15,"5,190",0.78%,"4,500",15.33%,"6,150",36.67%,"5,310"
드림텍(유가),2019/03/14,"12,660",-1.86%,"13,000",-2.62%,"17,350",33.46%,"15,400"
에코프로비엠,2019/03/05,"318,000",-1.70%,"48,000",562.5%,"61,100",27.29%,"63,200"
셀리드,2019/02/20,-,%,"33,000",%,"43,750",32.58%,"51,100"
천보,2019/02/11,"168,300",-0.36%,"40,000",320.75%,"52,500",31.25%,"47,650"
이노테라피,2019/02/01,"9,180",-0.76%,"18,000",-49%,"22,200",23.33%,"19,350"
노랑풍선,2019/01/30,-,%,"20,000",%,"30,350",51.75%,"34,150"
웹케시,2019/01/25,"12,650",-2.69%,"26,000",-51.35%,"31,700",21.92%,"28,500"
에어부산(유가),2018/12/27,-,%,"3,600",%,"4,020",11.67%,"5,220"
비피도,2018/12/26,"7,050",-0.42%,"18,000",-60.83%,"36,000",100%,"36,500"
키움스팩5호,2018/12/26,-,%,"2,000",%,"2,000",0%,"2,010"
엔에이치스팩13호,2018/12/24,-,%,"2,000",%,"2,000",0%,"2,010"
유틸렉스,2018/12/24,"3,780",-1.69%,"50,000",-92.44%,"60,100",20.2%,"78,100"
신영스팩4호,2018/12/21,-,%,"2,000",%,"2,005",0.25%,"2,005"
미래에셋대우스팩2호,2018/12/21,-,%,"2,000",%,"2,015",0.75%,"2,010"
디케이티,2018/12/21,-,%,"7,400",%,"12,900",74.32%,"10,550"
한국스팩8호,2018/12/20,-,%,"2,000",%,"2,005",0.25%,"2,005"
삼성머스트스팩3호,2018/12/20,-,%,"2,000",%,"2,005",0.25%,"2,000"
위지윅스튜디오,2018/12/20,-,%,"11,000",%,"11,250",2.27%,"9,350"
대신밸런스스팩6호,2018/12/19,-,%,"2,000",%,"2,005",0.25%,"2,000"
에이비엘바이오,2018/12/19,"19,480",-3.08%,"15,000",29.87%,"13,500",-10%,"13,650"
머큐리,2018/12/14,-,%,"6,100",%,"9,630",57.87%,"7,800"
전진바이오팜,2018/12/14,"5,420",3.83%,"10,000",-45.8%,"11,550",15.5%,"12,750"
뉴트리,2018/12/13,-,%,"14,500",%,"13,050",-10%,"13,900"
골든브릿지이안스팩5호,2018/12/12,-,%,"2,000",%,"2,000",0%,"1,995"
이노메트리,2018/12/12,-,%,"26,000",%,"40,000",53.85%,"29,550"
대유에이피,2018/12/07,-,%,"3,000",%,"6,000",100%,"4,935"
에스케이에이씨피씨스팩4호,2018/12/07,-,%,"2,000",%,"2,020",1%,"2,010"
에코캡,2018/12/05,-,%,"4,200",%,"4,100",-2.38%,"5,330"
교보스팩8호,2018/12/05,-,%,"2,000",%,"2,020",1%,"2,015"
베스파,2018/12/03,-,%,"35,000",%,"33,400",-4.57%,"30,000"
윙입푸드,2018/11/30,-,%,"2,000",%,"1,800",-10%,"2,340"
하나머스트스팩6호,2018/11/30,-,%,"2,000",%,"2,020",1%,"2,030"
남화산업,2018/11/29,-,%,"3,700",%,"5,610",51.62%,"7,290"
엠아이텍,2018/11/29,-,%,"4,500",%,"4,050",-10%,"4,770"
티로보틱스,2018/11/29,"33,450",16.75%,"16,000",109.06%,"14,400",-10%,"13,050"
티앤알바이오팹,2018/11/28,"12,110",-1.22%,"18,000",-32.72%,"16,200",-10%,"12,500"
네오펙트,2018/11/28,"1,290",-3.01%,"11,000",-88.27%,"9,900",-10%,"7,700"
아시아나IDT(유가),2018/11/23,"12,820",-2.51%,"15,000",-14.53%,"14,300",-4.67%,"12,450"
디알젬,2018/11/22,-,%,"6,500",%,"8,470",30.31%,"6,760"
싸이토젠,2018/11/22,"15,720",-3.26%,"17,000",-7.53%,"17,800",4.71%,"15,600"
파멥신,2018/11/21,"2,280",-4.00%,"60,000",-96.2%,"58,100",-3.17%,"63,600"
아주IB투자,2018/11/21,-,%,"1,500",%,"1,350",-10%,"1,150"
디케이앤디,2018/11/20,-,%,"6,000",%,"7,570",26.17%,"6,230"
디자인,2018/11/15,-,%,"10,100",%,"20,200",100%,"15,200"
노바렉스,2018/11/14,"9,570",9.25%,"19,000",-49.63%,"25,450",33.95%,"20,100"
셀리버리,2018/11/09,"6,680",0.00%,"25,000",-73.28%,"32,000",28%,"28,700"
대보마그네틱,2018/11/06,-,%,"31,000",%,"60,200",94.19%,"58,500"
노바텍,2018/11/02,-,%,"10,000",%,"14,100",41%,"18,300"
엘앤씨바이오,2018/11/01,-,%,"24,000",%,"29,800",24.17%,"26,950"
디비금융스팩6호,2018/10/31,-,%,"2,000",%,"2,010",0.5%,"2,010"
옵티팜,2018/10/26,"6,880",0.73%,"10,000",-31.2%,"9,000",-10%,"11,700"
